Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2905,Senior Eligibility Worker,29034,40057.15,165.72,456.14,40679.01,8702.47,6497.6,3412.07,18612.14,59291.15
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters Unit 1, Local 798",H000,Fire Services,H008,EMT Paramedic,24543,2369.81,0.0,0.0,2369.81,0.0,328.54,183.93,512.47,2882.28
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8306,Senior Deputy Sheriff,19581,108368.52,30880.98,22670.66,161920.16,31857.51,12424.5,2701.93,46983.94,208904.1
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2600,Dietary & Food,2604,Food Service Worker,226,51405.0,184.82,4339.73,55929.55,12647.41,12424.5,4575.42,29647.33,85576.88
Calendar,2015,1,Public Protection,FIR,Fire Department,799.0,"Firefighters - Chiefs/Fire Boat Workers, Local 798",H000,Fire Services,H040,"Battlion Chief, Fire Suppressi",38903,190607.73,85389.22,31205.5,307202.45,43364.26,15052.76,5197.93,63614.95,370817.4
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2918,HSA Social Worker,46138,43213.87,0.0,9648.6,52862.47,9926.5,6804.09,4332.21,21062.8,73925.27
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,52900,140334.0,0.0,20934.88,161268.88,30948.61,12424.5,10478.81,53851.92,215120.8
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6.0,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,46624,84644.08,7900.87,4531.2,97076.15,17556.45,12424.5,7599.56,37580.51,134656.66
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2300,Nursing,2314,Public Health Team Leader,31303,79551.0,0.0,11120.69,90671.69,18159.42,12424.5,7106.53,37690.45,128362.14
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5207,Assoc Engineer,27963,24996.0,0.0,0.0,24996.0,4651.77,2867.19,1992.94,9511.9,34507.9
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,13983,33768.93,14535.19,6610.89,54915.01,10867.74,6715.56,4174.62,21757.92,76672.93
Calendar,2015,6,General Administration & Finance,CPC,City Planning,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5293,Planner 4,42886,116735.44,0.0,0.0,116735.44,23747.91,12424.5,9541.06,45713.47,162448.91
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",9700,Community Development,9703,Emp & Training Spec 2,28965,35922.0,0.0,120.0,36042.0,6868.18,6690.12,2925.16,16483.46,52525.46
Calendar,2015,4,Community Health,DPH,Public Health,164.0,Physicians and Dentists - Miscellaneous,2200,Medical & Dental,2232,Senior Physician Specialist,21052,20176.6,0.0,0.0,20176.6,3657.78,1146.88,1566.02,6370.68,26547.28
Calendar,2015,4,Community Health,DPH,Public Health,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",2500,Med Therapy & Auxiliary,2548,Occupational Therapist,26341,89375.8,0.0,0.0,89375.8,17994.68,9921.69,7188.14,35104.51,124480.31
Calendar,2015,6,General Administration & Finance,CON,Controller,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1825,Prnpl Admin Analyst II,48250,118914.72,0.0,0.0,118914.72,24139.32,11450.85,9587.12,45177.29,164092.01
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9920,Publ Svc Aide-Asst To Prof,6577,37661.7,2721.05,0.0,40382.75,9035.53,12385.67,3273.34,24694.54,65077.29
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790.0,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1630,Account Clerk,44160,1827.0,0.0,0.0,1827.0,471.37,477.86,141.45,1090.68,2917.68
Calendar,2015,6,General Administration & Finance,HRD,Human Resources,351.0,Municipal Executive Association - Miscellaneous,0900,Management,0931,Manager III,38696,2445.0,0.0,0.0,2445.0,548.4,286.72,217.14,1052.26,3497.26
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,10977,76342.5,17279.43,12887.55,106509.48,17692.69,15052.75,1775.96,34521.4,141030.88
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9104,Transit Car Cleaner Asst Sprv,29270,25949.91,528.71,6391.67,32870.29,6136.7,4657.75,2620.95,13415.4,46285.69
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5380,"Stdntdsgntrain1, Arch/Eng/Plng",28666,16457.82,0.0,0.0,16457.82,0.0,3894.61,1277.0,5171.61,21629.43
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",0900,Management,5212,Engineer/Architect Principal,13445,181945.02,0.0,0.0,181945.02,36616.95,12424.5,10900.06,59941.51,241886.53
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2400,"Lab, Pharmacy & Med Techs",2430,Medical Evaluations Assistant,39090,61694.15,7944.78,3576.84,73215.77,12859.14,11628.73,5805.54,30293.41,103509.18
Calendar,2015,2,"Public Works, Transportation & Commerce",HHP,PUC Hetch Hetchy,790.0,"SEIU - Miscellaneous, Local 1021",7500,Semi-Skilled & General Labor,7542,Watershed Worker (Seasonal),42453,7102.69,46.32,0.0,7149.01,0.0,2060.8,554.72,2615.52,9764.53
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,11073,97780.73,99730.88,14743.37,212254.98,27373.33,12424.5,3610.08,43407.91,255662.89
Calendar,2015,6,General Administration & Finance,BOS,Board of Supervisors,330.0,Members of Boards and Commissions - No Benefits,0900,Management,0109,Commissioner No Benefits,47263,100.0,0.0,0.0,100.0,0.0,5.97,7.75,13.72,113.72
Calendar,2015,5,Culture & Recreation,LIB,Public Library,790.0,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,26596,13363.48,0.0,815.67,14179.15,3117.98,3521.27,1129.74,7768.99,21948.14
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,13944,113223.0,51811.4,17477.64,182512.04,24968.62,15196.12,3112.79,43277.53,225789.57
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",2400,"Lab, Pharmacy & Med Techs",2481,Water Qualitytech I/II,41802,80977.03,0.0,0.0,80977.03,16658.14,12424.5,6609.79,35692.43,116669.46
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2400,"Lab, Pharmacy & Med Techs",2409,Pharmacy Technician,43307,82717.02,828.87,3714.5,87260.39,17177.09,12424.5,6964.7,36566.29,123826.68
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,38049,51639.42,0.0,0.0,51639.42,7809.44,12350.85,4117.79,24278.08,75917.5
Calendar,2015,1,Public Protection,JUV,Juvenile Probation,790.0,"SEIU - Miscellaneous, Local 1021",8300,Correction & Detention,8320,"Counselor, Juvenile Hall",2331,20444.51,4355.64,1038.67,25838.82,0.0,0.0,2044.59,2044.59,27883.41
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790.0,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1426,Senior Clerk Typist,50168,61563.43,0.0,622.25,62185.68,12820.35,12389.74,5155.49,30365.58,92551.26
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q002,Police Officer,4468,80949.9,2413.68,3148.53,86512.11,16584.79,12424.5,3144.14,32153.43,118665.54
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2400,"Lab, Pharmacy & Med Techs",2430,Medical Evaluations Assistant,44081,21173.4,291.66,741.7,22206.76,4764.16,4810.49,1766.05,11340.7,33547.46
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,9538,97768.57,20566.83,8769.96,127105.36,25912.49,12424.51,2118.88,40455.88,167561.24
Calendar,2015,2,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,930.0,Building Inspectors' Association - Inspectors,6300,Construction Inspection,6331,Building Inspector,35590,103437.2,0.0,0.0,103437.2,21295.87,12424.5,8030.25,41750.62,145187.82
Calendar,2015,4,Community Health,DPH,Public Health,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2908,Hospital Eligiblity Worker,8019,40360.2,27.62,15080.27,55468.09,9212.04,6546.76,4518.85,20277.65,75745.74
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,39486,79290.32,16121.91,14553.35,109965.58,22788.44,10083.74,1859.73,34731.91,144697.49
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,261.0,"Laborers, Local 261",3400,Agriculture & Horticulture,3410,Apprentice Gardener,24911,43727.3,2288.5,619.33,46635.13,7091.81,12376.75,3760.83,23229.39,69864.52
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,14609,135109.89,0.0,4028.01,139137.9,27909.79,11963.19,10113.27,49986.25,189124.15
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,22244,119467.4,70346.61,19507.96,209321.97,23620.98,12424.5,3570.94,39616.42,248938.39
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2600,Dietary & Food,2622,Dietetic Technician,14192,58403.2,0.0,341.43,58744.63,12046.3,12424.5,4858.86,29329.66,88074.29
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2305,Psychiatric Technician,22591,38489.76,0.0,5486.65,43976.41,8485.52,6269.18,3558.34,18313.04,62289.45
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,790.0,"SEIU - Miscellaneous, Local 1021",7500,Semi-Skilled & General Labor,7542,Watershed Worker (Seasonal),7310,12895.2,0.0,0.0,12895.2,0.0,3727.35,1000.87,4728.22,17623.42
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2500,Med Therapy & Auxiliary,2585,Health Worker 1,45654,53271.88,0.0,0.0,53271.88,11863.72,12255.45,4335.41,28454.58,81726.46
Calendar,2015,2,"Public Works, Transportation & Commerce",PRT,Port,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1042,IS Engineer-Journey,874,120111.07,0.0,0.0,120111.07,24172.55,12424.5,9916.51,46513.56,166624.63
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,252.0,"Transport Workers - Auto Svc Workers, Local 250-A",7400,Skilled Labor,7410,Automotive Service Worker,34883,64463.71,4334.99,12627.13,81425.83,15212.59,12424.5,6611.7,34248.79,115674.62
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,10269,100479.0,986.9,5113.38,106579.28,20304.15,10990.9,8333.97,39629.02,146208.3
Calendar,2015,2,"Public Works, Transportation & Commerce",PRT,Port,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5211,Eng/Arch/Landscape Arch Sr,40884,11982.01,0.0,1230.56,13212.57,2898.84,955.73,1056.56,4911.13,18123.7
Calendar,2015,1,Public Protection,POL,Police,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8274,Police Cadet,6947,12029.05,0.0,0.0,12029.05,0.0,4462.07,932.76,5394.83,17423.88
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790.0,"SEIU - Miscellaneous, Local 1021",1200,Personnel,1220,Payroll Clerk,31049,61592.0,2857.19,510.97,64960.16,12492.16,10513.04,5040.8,28046.0,93006.16
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1632,Senior Account Clerk,37951,51543.82,41.64,0.0,51585.46,11780.09,10990.9,4158.16,26929.15,78514.61
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,41670,11536.03,0.0,0.0,11536.03,991.92,4940.53,934.52,6866.97,18403.0
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2913,Program Specialist,35496,85188.57,0.0,0.0,85188.57,17551.24,12398.22,6897.43,36846.89,122035.46
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,42239,43587.11,7325.86,993.01,51905.98,11560.71,12981.88,3896.02,28438.61,80344.59
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,19081,20686.05,0.0,3244.07,23930.12,3185.7,0.0,3796.12,6981.82,30911.94
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,790.0,"SEIU - Miscellaneous, Local 1021",1800,"Budget, Admn & Stats Analysis",1822,Administrative Analyst,40843,73659.21,0.0,0.0,73659.21,15148.18,12424.51,5769.22,33341.91,107001.12
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,21916,3566.74,0.0,0.0,3566.74,0.0,1281.27,287.45,1568.72,5135.46
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H020,"Lieutenant, Fire Suppression",5992,130333.45,0.0,8509.01,138842.46,27132.13,12567.87,1553.69,41253.69,180096.15
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,7192,91736.1,16342.41,16750.53,124829.04,18758.81,9557.31,2088.77,30404.89,155233.93
Calendar,2015,6,General Administration & Finance,CON,Controller,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1054,IS Business Analyst-Principal,23836,45168.04,0.0,0.0,45168.04,8188.96,0.0,3653.82,11842.78,57010.82
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5362,Engineering Assistant,40150,33840.0,0.0,0.0,33840.0,6297.61,5567.12,2667.8,14532.53,48372.53
Calendar,2015,1,Public Protection,CRT,Superior Court,792.0,"SEIU - Court Employees, Local 1021",SCRT,SF Superior Court,420C,Deputy Court Clerk II,50081,74412.08,0.0,5975.0,80387.08,15661.04,12424.5,6600.42,34685.96,115073.04
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2312,Licensed Vocational Nurse,38683,1248.0,0.0,0.0,1248.0,0.0,238.93,96.62,335.55,1583.55
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,790.0,"SEIU - Miscellaneous, Local 1021",1300,Pub Relations & Spec Assts,1322,Customer Service Agent Trainee,37604,11143.19,0.0,85.58,11228.77,0.0,2364.53,869.33,3233.86,14462.63
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1823,Senior Administrative Analyst,18445,102019.03,0.0,0.0,102019.03,21026.28,12425.65,7632.9,41084.83,143103.86
Calendar,2015,2,"Public Works, Transportation & Commerce",HHP,PUC Hetch Hetchy,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5211,Eng/Arch/Landscape Arch Sr,47314,154629.06,0.0,0.0,154629.06,31080.74,12255.62,10405.04,53741.4,208370.46
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5380,"Stdntdsgntrain1, Arch/Eng/Plng",44995,21424.72,0.0,0.0,21424.72,5527.61,5101.22,1726.99,12355.82,33780.54
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,49644,4087.55,0.0,54.02,4141.57,138.41,0.0,542.03,680.44,4822.01
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,50836,30218.11,0.0,3951.34,34169.45,0.0,2660.68,2648.32,5309.0,39478.45
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,45398,11494.53,0.0,829.66,12324.19,2308.42,0.0,364.62,2673.04,14997.23
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H004,"Insp, Fire Dept",9681,135115.5,21189.5,8106.93,164411.93,28155.46,12424.5,2736.95,43316.91,207728.84
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5266,Architectural Associate 2,10990,4397.0,0.0,0.0,4397.0,818.28,477.86,322.75,1618.89,6015.89
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2900,Human Services,2935,"Sr Marriage, Fam & Cld Cnslr",20079,97424.0,0.0,624.0,98048.0,20208.21,12424.5,8010.8,40643.51,138691.51
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q060,Lieutenant (Police Department),10651,11556.0,0.0,903.6,12459.6,2091.56,955.73,213.51,3260.8,15720.4
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790.0,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,50603,8731.73,0.0,70.67,8802.4,0.0,2171.32,682.25,2853.57,11655.97
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q002,Police Officer,32556,80953.81,2224.4,4027.55,87205.76,16760.25,12424.51,1639.96,30824.72,118030.48
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",1900,Purchasing & Storekeeping,1929,Parts Storekeeper,43506,65817.7,29371.95,6398.82,101588.47,13929.77,12424.5,8060.34,34414.61,136003.08
Calendar,2015,3,Human Welfare & Neighborhood Development,RNT,Rent Arbitration Board,311.0,Municipal Attorneys' Association,8100,Legal & Court,8177,Attorney (Civil/Criminal),45989,147924.0,0.0,4458.48,152382.48,31405.79,10035.18,10341.4,51782.37,204164.85
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,856.0,"Teamsters - Miscellaneous, Local 856",3300,Park & Zoo,3370,Animal Care Attendant,49247,49578.86,579.21,1833.06,51991.13,12003.51,11739.48,4155.66,27898.65,79889.78
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,38967,67741.73,7517.37,1425.47,76684.57,18937.93,13348.28,5942.4,38228.61,114913.18
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5290,Transit Planner 4,22613,125815.04,0.0,0.0,125815.04,25320.89,12424.5,9885.56,47630.95,173445.99
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1.0,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,12362,6901.28,0.0,0.0,6901.28,0.0,2992.63,549.24,3541.87,10443.15
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6.0,"Electrical Workers, Local 6",9100,Street Transit,9145,Traffic Signal Electrician,25112,106924.9,15311.24,4544.89,126781.03,22139.28,12421.26,9841.96,44402.5,171183.53
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H003,EMT/Paramedic/Firefighter,41554,84626.65,2331.45,11479.34,98437.44,18625.84,12360.77,1605.66,32592.27,131029.71
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,11213,97763.77,1361.74,6814.98,105940.49,25435.89,12424.5,1801.86,39662.25,145602.74
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,39163,1514.36,0.0,34.26,1548.62,1154.96,125.44,903.49,2183.89,3732.51
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,2858,134497.05,0.0,16847.15,151344.2,27124.47,12279.89,9165.29,48569.65,199913.85
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6.0,"Electrical Workers, Local 6",7300,Journeyman Trade,7318,Electronic Maintenance Tech,733,108038.02,0.0,5476.82,113514.84,22891.9,12424.5,9323.56,44639.96,158154.8
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,11716,23608.5,3837.7,1002.38,28448.58,6070.89,7335.23,2176.62,15582.74,44031.32
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,51061,54921.37,1082.03,2493.66,58497.06,10414.65,6212.25,981.5,17608.4,76105.46
Calendar,2015,4,Community Health,DPH,Public Health,351.0,Municipal Executive Association - Miscellaneous,0900,Management,2785,Asst General Services Manager,31780,25668.9,0.0,10996.83,36665.73,5757.56,3870.71,5746.5,15374.77,52040.5
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2905,Senior Eligibility Worker,20542,68867.75,0.0,0.0,68867.75,14161.84,12424.51,5450.08,32036.43,100904.18
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",7400,Skilled Labor,7457,Sign Worker,1677,37702.32,388.35,0.0,38090.67,8328.02,6958.89,3122.75,18409.66,56500.33
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,28024,49142.2,19820.16,7462.15,76424.51,12852.71,12424.5,5797.99,31075.2,107499.71
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,4837,11549.7,0.0,0.0,11549.7,0.0,4945.91,941.74,5887.65,17437.35
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,16880,2092.8,0.0,0.0,2092.8,0.0,764.58,162.03,926.61,3019.41
Calendar,2015,5,Culture & Recreation,FAM,Fine Arts Museum,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,17254,5540.5,0.0,309.75,5850.25,1429.44,2363.94,452.92,4246.3,10096.55
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1.0,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,52914,11984.25,0.0,0.0,11984.25,2038.66,5196.78,946.18,8181.62,20165.87
Calendar,2015,1,Public Protection,POL,Police,790.0,"SEIU - Miscellaneous, Local 1021",9200,Airport Operation,9209,Community Police Services Aide,8361,64032.6,7720.9,4672.18,76425.68,13586.02,11710.57,6013.42,31310.01,107735.69
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,43491,0.0,0.0,840.22,840.22,0.0,68.5,45.15,113.65,953.87
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,38.0,"Plumbers and Pipefitters, Local 38",7300,Journeyman Trade,7347,Plumber,30104,100761.0,56402.2,11650.79,168813.99,22041.53,12424.49,10605.94,45071.96,213885.95
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9920,Publ Svc Aide-Asst To Prof,32661,4341.03,0.0,0.0,4341.03,0.0,1436.58,336.85,1773.43,6114.46
Calendar,2015,5,Culture & Recreation,FAM,Fine Arts Museum,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8226,Museum Guard,682,13499.49,181.49,0.0,13680.98,0.0,3071.77,1060.73,4132.5,17813.48
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,1344,112016.43,54901.88,17821.28,184739.59,24698.79,14574.9,3094.22,42367.91,227107.5
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,130.0,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7315,Auto Machinist Asst Sprv,39396,97793.0,10958.05,11814.0,120565.05,22647.58,12424.5,9662.27,44734.35,165299.4
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,25616,97763.74,0.0,6814.98,104578.72,25435.88,12424.5,1733.07,39593.45,144172.17
