Organization Group,Department,Job Family,Job,Salary,Overtime,Benefits,Total Compensation
Public Protection,Police,Police Services,Police Officer 3,136768.0,32785.0,46050.0,215603.0
Public Protection,Police,Police Services,Police Officer 3,139674.0,48969.0,44368.0,233011.0
Public Protection,Police,Police Services,Police Officer 3,140846.0,28153.0,44046.0,213045.0
Public Protection,Police,Police Services,Police Officer 3,138888.0,59581.0,44566.0,243035.0
Public Protection,Police,Police Services,Police Officer 3,141125.0,62815.0,44669.0,248609.0
Public Protection,Police,Police Services,Police Officer 3,143064.0,15977.0,44151.0,203193.0
Public Protection,Police,Police Services,Police Officer 3,144021.0,21284.0,43940.0,209245.0
Public Protection,Police,Police Services,Police Officer 3,134733.0,0.0,43462.0,178195.0
Public Protection,Police,Police Services,Police Officer 3,134543.0,26592.0,43879.0,205015.0
Public Protection,Police,Police Services,Police Officer 3,136989.0,57818.0,44976.0,239784.0
Public Protection,Police,Police Services,Police Officer 3,49148.0,0.0,3859.0,53007.0
Public Protection,Police,Police Services,Police Officer 3,44727.0,0.0,3472.0,48198.0
Public Protection,Police,Police Services,Police Officer 3,145208.0,30505.0,43762.0,219475.0
Public Protection,Police,Police Services,Police Officer 3,156534.0,17853.0,44427.0,218814.0
Public Protection,Police,Police Services,Police Officer 3,134709.0,8618.0,44191.0,187517.0
Public Protection,Police,Police Services,Police Officer 3,135245.0,12150.0,43789.0,191184.0
Public Protection,Police,Police Services,Police Officer 3,134419.0,34861.0,44716.0,213996.0
Public Protection,Police,Police Services,Police Officer 3,135340.0,27542.0,43925.0,206807.0
Public Protection,Police,Police Services,Police Officer 3,136017.0,97763.0,45186.0,278966.0
Public Protection,Police,Police Services,Police Officer 3,126340.0,11029.0,42396.0,179764.0
Public Protection,Police,Police Services,Police Officer 3,137617.0,7145.0,43634.0,188396.0
Public Protection,Police,Police Services,Police Officer 3,133530.0,67074.0,44621.0,245225.0
Public Protection,Police,Police Services,Police Officer 3,133958.0,55273.0,44360.0,233591.0
Public Protection,Police,Police Services,Police Officer 3,138056.0,22969.0,43876.0,204901.0
Public Protection,Police,Police Services,Police Officer 3,143648.0,32608.0,44264.0,220520.0
Public Protection,Police,Police Services,Police Officer 3,136042.0,2756.0,41936.0,180734.0
Public Protection,Police,Police Services,Police Officer 3,116986.0,757.0,34908.0,152651.0
Public Protection,Police,Police Services,Police Officer 3,136469.0,9688.0,43665.0,189822.0
Public Protection,Police,Police Services,Police Officer 3,162000.0,79515.0,55801.0,297316.0
Public Protection,Police,Police Services,Police Officer 3,138622.0,4140.0,43654.0,186416.0
Public Protection,Police,Police Services,Police Officer 3,169319.0,93816.0,50413.0,313548.0
Public Protection,Police,Police Services,Police Officer 3,135507.0,32658.0,44032.0,212197.0
Public Protection,Police,Police Services,Police Officer 3,148543.0,31880.0,44099.0,224522.0
Public Protection,Police,Police Services,Police Officer 3,137038.0,52620.0,44398.0,234056.0
Public Protection,Police,Police Services,Police Officer 3,134911.0,37912.0,44086.0,216908.0
Public Protection,Police,Police Services,Police Officer 3,135337.0,12052.0,43574.0,190962.0
Public Protection,Police,Police Services,Police Officer 3,138594.0,6250.0,29733.0,174577.0
Public Protection,Police,Police Services,Police Officer 3,50137.0,0.0,3891.0,54029.0
Public Protection,Police,Police Services,Police Officer 3,139164.0,34987.0,44510.0,218661.0
Public Protection,Police,Police Services,Police Officer 3,150305.0,47960.0,45093.0,243358.0
Public Protection,Police,Police Services,Police Officer 3,136648.0,3486.0,43604.0,183738.0
Public Protection,Police,Police Services,Police Officer 3,139052.0,40295.0,44190.0,223537.0
Public Protection,Police,Police Services,Police Officer 3,138583.0,1893.0,43534.0,184010.0
Public Protection,Police,Police Services,Police Officer 3,138728.0,3110.0,43617.0,185455.0
Public Protection,Police,Police Services,Police Officer 3,173318.0,29290.0,56773.0,259381.0
Public Protection,Police,Police Services,Police Officer 3,146682.0,9097.0,46494.0,202272.0
Public Protection,Police,Police Services,Police Officer 3,164208.0,59354.0,47627.0,271189.0
Public Protection,Police,Police Services,Police Officer 3,140576.0,13000.0,43811.0,197386.0
Public Protection,Police,Police Services,Police Officer 3,139221.0,5960.0,43616.0,188796.0
Public Protection,Police,Police Services,Police Officer 3,135467.0,21468.0,44520.0,201456.0
Public Protection,Police,Police Services,Police Officer 3,133412.0,0.0,42272.0,175685.0
Public Protection,Police,Police Services,Police Officer 3,167065.0,31365.0,44317.0,242747.0
Public Protection,Police,Police Services,Police Officer 3,139808.0,5939.0,44189.0,189936.0
Public Protection,Police,Police Services,Police Officer 3,138281.0,0.0,44079.0,182360.0
Public Protection,Police,Police Services,Police Officer 3,133838.0,10239.0,44004.0,188082.0
Public Protection,Police,Police Services,Police Officer 3,141087.0,8393.0,43740.0,193221.0
Public Protection,Police,Police Services,Police Officer 3,133623.0,6254.0,42648.0,182525.0
Public Protection,Police,Police Services,Police Officer 3,121202.0,78083.0,41493.0,240778.0
Public Protection,Police,Police Services,Police Officer 3,140513.0,34848.0,44640.0,220001.0
Public Protection,Police,Police Services,Police Officer 3,133346.0,20478.0,43741.0,197565.0
Public Protection,Police,Police Services,Police Officer 3,133445.0,36717.0,44066.0,214227.0
Public Protection,Police,Police Services,Police Officer 3,168323.0,33666.0,48078.0,250068.0
Public Protection,Police,Police Services,Police Officer 3,133254.0,13559.0,42953.0,189767.0
Public Protection,Police,Police Services,Police Officer 3,141386.0,27470.0,44019.0,212874.0
Public Protection,Police,Police Services,Police Officer 3,144593.0,25160.0,44085.0,213838.0
Public Protection,Police,Police Services,Police Officer 3,136224.0,15724.0,44302.0,196250.0
Public Protection,Police,Police Services,Police Officer 3,145521.0,39391.0,50550.0,235462.0
Public Protection,Police,Police Services,Police Officer 3,138574.0,22819.0,43892.0,205284.0
Public Protection,Police,Police Services,Police Officer 3,135798.0,34074.0,44082.0,213954.0
Public Protection,Police,Police Services,Police Officer 3,135476.0,305.0,43480.0,179261.0
Public Protection,Police,Police Services,Police Officer 3,153131.0,31067.0,44025.0,228222.0
Public Protection,Police,Police Services,Police Officer 3,45680.0,0.0,3546.0,49226.0
Public Protection,Police,Police Services,Police Officer 3,144169.0,103403.0,45423.0,292995.0
Public Protection,Police,Police Services,Police Officer 3,133412.0,41034.0,44139.0,218585.0
Public Protection,Police,Police Services,Police Officer 3,141110.0,25696.0,43942.0,210748.0
Public Protection,Police,Police Services,Police Officer 3,134764.0,12141.0,43637.0,190542.0
Public Protection,Police,Police Services,Police Officer 3,135352.0,77026.0,44819.0,257198.0
Public Protection,Police,Police Services,Police Officer 3,161962.0,27891.0,44437.0,234291.0
Public Protection,Police,Police Services,Police Officer 3,135685.0,17542.0,43649.0,196876.0
Public Protection,Police,Police Services,Police Officer 3,152207.0,50599.0,44614.0,247420.0
Public Protection,Police,Police Services,Police Officer 3,139920.0,17446.0,44116.0,201482.0
Public Protection,Police,Police Services,Police Officer 3,44970.0,0.0,3530.0,48500.0
Public Protection,Police,Police Services,Police Officer 3,142331.0,50236.0,44461.0,237027.0
Public Protection,Police,Police Services,Police Officer 3,138248.0,12276.0,42259.0,192783.0
Public Protection,Police,Police Services,Police Officer 3,139108.0,19513.0,43881.0,202502.0
Public Protection,Police,Police Services,Police Officer 3,140473.0,6199.0,44151.0,190823.0
Public Protection,Police,Police Services,Police Officer 3,138634.0,29254.0,43312.0,211201.0
Public Protection,Police,Police Services,Police Officer 3,143386.0,5447.0,44072.0,192905.0
Public Protection,Police,Police Services,Police Officer 3,134575.0,9111.0,43710.0,187396.0
Public Protection,Police,Police Services,Police Officer 3,136352.0,104093.0,45767.0,286212.0
Public Protection,Police,Police Services,Police Officer 3,133346.0,28330.0,44547.0,206223.0
Public Protection,Police,Police Services,Police Officer 3,135999.0,8933.0,44099.0,189030.0
Public Protection,Police,Police Services,Police Officer 3,136004.0,66581.0,45136.0,247721.0
Public Protection,Police,Police Services,Police Officer 3,133691.0,45551.0,44274.0,223516.0
Public Protection,Police,Police Services,Police Officer 3,137906.0,17289.0,44048.0,199243.0
Public Protection,Police,Police Services,Police Officer 3,136519.0,28989.0,44032.0,209540.0
Public Protection,Police,Police Services,Police Officer 3,136519.0,1692.0,43567.0,181777.0
Public Protection,Police,Police Services,Police Officer 3,136621.0,5182.0,42981.0,184784.0
Public Protection,Police,Police Services,Police Officer 3,134064.0,15999.0,43252.0,193314.0
Public Protection,Police,Police Services,Police Officer 3,137872.0,51375.0,43965.0,233212.0
Public Protection,Police,Police Services,Police Officer 3,139980.0,84632.0,45386.0,269998.0
Public Protection,Police,Police Services,Police Officer 3,143380.0,44637.0,44633.0,232651.0
Public Protection,Police,Police Services,Police Officer 3,134266.0,7007.0,41811.0,183084.0
Public Protection,Police,Police Services,Police Officer 3,137729.0,21843.0,44437.0,204009.0
Public Protection,Police,Police Services,Police Officer 3,117695.0,10400.0,36783.0,164877.0
Public Protection,Police,Police Services,Police Officer 3,140166.0,49136.0,46023.0,235324.0
Public Protection,Police,Police Services,Police Officer 3,138460.0,48341.0,45153.0,231954.0
Public Protection,Police,Police Services,Police Officer 3,141092.0,12004.0,44333.0,197429.0
Public Protection,Police,Police Services,Police Officer 3,138059.0,94983.0,45124.0,278165.0
Public Protection,Police,Police Services,Police Officer 3,162528.0,38405.0,44808.0,245741.0
Public Protection,Police,Police Services,Police Officer 3,136999.0,22631.0,43822.0,203452.0
Public Protection,Police,Police Services,Police Officer 3,142613.0,11409.0,43859.0,197880.0
Public Protection,Police,Police Services,Police Officer 3,141111.0,23727.0,43941.0,208779.0
Public Protection,Police,Police Services,Police Officer 3,136597.0,24195.0,43581.0,204373.0
Public Protection,Police,Police Services,Police Officer 3,139645.0,17840.0,44129.0,201614.0
Public Protection,Police,Police Services,Police Officer 3,135139.0,4093.0,44000.0,183233.0
Public Protection,Police,Police Services,Police Officer 3,136386.0,17710.0,44607.0,198703.0
Public Protection,Police,Police Services,Police Officer 3,141113.0,53251.0,44464.0,238827.0
Public Protection,Police,Police Services,Police Officer 3,134266.0,5292.0,42476.0,182035.0
Public Protection,Police,Police Services,Police Officer 3,135993.0,9120.0,44162.0,189274.0
Public Protection,Police,Police Services,Police Officer 3,128986.0,51552.0,43053.0,223591.0
Public Protection,Police,Police Services,Police Officer 3,135999.0,40528.0,44618.0,221144.0
Public Protection,Police,Police Services,Police Officer 3,138140.0,2435.0,44064.0,184639.0
Public Protection,Police,Police Services,Police Officer 3,138719.0,99468.0,45167.0,283354.0
Public Protection,Police,Police Services,Police Officer 3,133429.0,24289.0,44444.0,202161.0
Public Protection,Police,Police Services,Police Officer 3,138559.0,25673.0,43854.0,208085.0
Public Protection,Police,Police Services,Police Officer 3,137839.0,43154.0,44739.0,225732.0
Public Protection,Police,Police Services,Police Officer 3,117738.0,14174.0,40340.0,172252.0
Public Protection,Police,Police Services,Police Officer 3,141926.0,5798.0,43924.0,191648.0
Public Protection,Police,Police Services,Police Officer 3,136339.0,39918.0,44656.0,220912.0
Public Protection,Police,Police Services,Police Officer 3,136409.0,28946.0,44038.0,209393.0
Public Protection,Police,Police Services,Police Officer 3,37933.0,0.0,2944.0,40877.0
Public Protection,Police,Police Services,Police Officer 3,136070.0,7657.0,44126.0,187853.0
Public Protection,Police,Police Services,Police Officer 3,136461.0,55916.0,44984.0,237361.0
Public Protection,Police,Police Services,Police Officer 3,141220.0,1567.0,45419.0,188206.0
Public Protection,Police,Police Services,Police Officer 3,141031.0,7098.0,43744.0,191873.0
Public Protection,Police,Police Services,Police Officer 3,147711.0,4563.0,30453.0,182727.0
Public Protection,Police,Police Services,Police Officer 3,138427.0,51920.0,44443.0,234790.0
Public Protection,Police,Police Services,Police Officer 3,134199.0,28256.0,42887.0,205342.0
Public Protection,Police,Police Services,Police Officer 3,138668.0,26076.0,43490.0,208234.0
Public Protection,Police,Police Services,Police Officer 3,144428.0,9985.0,43806.0,198219.0
Public Protection,Police,Police Services,Police Officer 3,140215.0,3937.0,42065.0,186216.0
Public Protection,Police,Police Services,Police Officer 3,138134.0,20878.0,44426.0,203439.0
Public Protection,Police,Police Services,Police Officer 3,143947.0,10748.0,43823.0,198519.0
Public Protection,Police,Police Services,Police Officer 3,137692.0,6252.0,43638.0,187582.0
Public Protection,Police,Police Services,Police Officer 3,133387.0,8443.0,43320.0,185150.0
Public Protection,Police,Police Services,Police Officer 3,138873.0,109577.0,45924.0,294374.0
Public Protection,Police,Police Services,Police Officer 3,142659.0,103709.0,45793.0,292161.0
Public Protection,Police,Police Services,Police Officer 3,135478.0,31702.0,44015.0,211195.0
Public Protection,Police,Police Services,Police Officer 3,137176.0,767.0,43534.0,181476.0
Public Protection,Police,Police Services,Police Officer 3,42900.0,0.0,3330.0,46230.0
Public Protection,Police,Police Services,Police Officer 3,160513.0,22094.0,45732.0,228338.0
Public Protection,Police,Police Services,Police Officer 3,144988.0,41740.0,44199.0,230927.0
Public Protection,Police,Police Services,Police Officer 3,140629.0,27190.0,44642.0,212461.0
Public Protection,Police,Police Services,Police Officer 3,136519.0,35779.0,44063.0,216360.0
Public Protection,Police,Police Services,Police Officer 3,132679.0,31641.0,44114.0,208434.0
Public Protection,Police,Police Services,Police Officer 3,142444.0,16972.0,43841.0,203257.0
Public Protection,Police,Police Services,Police Officer 3,134122.0,1973.0,42272.0,178367.0
Public Protection,Police,Police Services,Police Officer 3,118986.0,0.0,36955.0,155941.0
Public Protection,Police,Police Services,Police Officer 3,137372.0,1149.0,46568.0,185089.0
Public Protection,Police,Police Services,Police Officer 3,135704.0,44342.0,44238.0,224285.0
Public Protection,Police,Police Services,Police Officer 3,137211.0,10865.0,43449.0,191525.0
Public Protection,Police,Police Services,Police Officer 3,142900.0,46097.0,44551.0,233548.0
Public Protection,Police,Police Services,Police Officer 3,135004.0,2918.0,43523.0,181445.0
Public Protection,Police,Police Services,Police Officer 3,130587.0,107676.0,43845.0,282108.0
Public Protection,Police,Police Services,Police Officer 3,134951.0,33309.0,44463.0,212723.0
Public Protection,Police,Police Services,Police Officer 3,138157.0,16950.0,43874.0,198982.0
Public Protection,Police,Police Services,Police Officer 3,45935.0,0.0,3607.0,49542.0
Public Protection,Police,Police Services,Police Officer 3,135861.0,16665.0,43828.0,196355.0
Public Protection,Police,Police Services,Police Officer 3,137380.0,41866.0,44201.0,223448.0
Public Protection,Police,Police Services,Police Officer 3,143176.0,49508.0,44432.0,237117.0
Public Protection,Police,Police Services,Police Officer 3,150031.0,5596.0,45256.0,200883.0
Public Protection,Police,Police Services,Police Officer 3,136179.0,31122.0,46378.0,213679.0
Public Protection,Police,Police Services,Police Officer 3,146528.0,17302.0,44341.0,208171.0
Public Protection,Police,Police Services,Police Officer 3,136711.0,16947.0,43753.0,197410.0
Public Protection,Police,Police Services,Police Officer 3,149963.0,31739.0,44273.0,225976.0
Public Protection,Police,Police Services,Police Officer 3,46643.0,0.0,3620.0,50264.0
Public Protection,Police,Police Services,Police Officer 3,133346.0,29819.0,43914.0,207079.0
Public Protection,Police,Police Services,Police Officer 3,142505.0,48332.0,44397.0,235233.0
Public Protection,Police,Police Services,Police Officer 3,136526.0,15845.0,43788.0,196159.0
Public Protection,Police,Police Services,Police Officer 3,134749.0,51417.0,44339.0,230504.0
Public Protection,Police,Police Services,Police Officer 3,123548.0,10501.0,42873.0,176922.0
Public Protection,Police,Police Services,Police Officer 3,141788.0,91176.0,45582.0,278546.0
Public Protection,Police,Police Services,Police Officer 3,136040.0,14370.0,43779.0,194189.0
Public Protection,Police,Police Services,Police Officer 3,136423.0,35642.0,44148.0,216213.0
Public Protection,Police,Police Services,Police Officer 3,123064.0,11553.0,42209.0,176825.0
Public Protection,Police,Police Services,Police Officer 3,135882.0,13442.0,42052.0,191376.0
Public Protection,Police,Police Services,Police Officer 3,138491.0,58107.0,44528.0,241126.0
Public Protection,Police,Police Services,Police Officer 3,117987.0,33368.0,41901.0,193256.0
Public Protection,Police,Police Services,Police Officer 3,144680.0,24295.0,44010.0,212985.0
Public Protection,Police,Police Services,Police Officer 3,138276.0,20983.0,43880.0,203139.0
Public Protection,Police,Police Services,Police Officer 3,49176.0,0.0,3817.0,52993.0
Public Protection,Police,Police Services,Police Officer 3,139503.0,77163.0,44835.0,261502.0
Public Protection,Police,Police Services,Police Officer 3,134752.0,4108.0,42231.0,181091.0
Public Protection,Police,Police Services,Police Officer 3,133786.0,8046.0,43635.0,185466.0
Public Protection,Police,Police Services,Police Officer 3,129265.0,7140.0,41723.0,178127.0
Public Protection,Police,Police Services,Police Officer 3,137810.0,6533.0,43653.0,187996.0
Public Protection,Police,Police Services,Police Officer 3,134740.0,36956.0,44060.0,215756.0
Public Protection,Police,Police Services,Police Officer 3,136652.0,34262.0,44633.0,215547.0
Public Protection,Police,Police Services,Police Officer 3,135488.0,65570.0,44593.0,245651.0
Public Protection,Police,Police Services,Police Officer 3,133694.0,15374.0,43549.0,192616.0
Public Protection,Police,Police Services,Police Officer 3,139881.0,14608.0,43766.0,198254.0
Public Protection,Police,Police Services,Police Officer 3,149444.0,100244.0,48960.0,298647.0
Public Protection,Police,Police Services,Police Officer 3,140956.0,44868.0,44161.0,229985.0
Public Protection,Police,Police Services,Police Officer 3,138867.0,23667.0,43764.0,206298.0
Public Protection,Police,Police Services,Police Officer 3,152514.0,54265.0,44669.0,251448.0
Public Protection,Police,Police Services,Police Officer 3,133476.0,71968.0,44609.0,250053.0
Public Protection,Police,Police Services,Police Officer 3,136042.0,210.0,44024.0,180276.0
Public Protection,Police,Police Services,Police Officer 3,139168.0,43859.0,44748.0,227775.0
Public Protection,Police,Police Services,Police Officer 3,139053.0,36635.0,44130.0,219818.0
Public Protection,Police,Police Services,Police Officer 3,133788.0,37591.0,44018.0,215397.0
Public Protection,Police,Police Services,Police Officer 3,133692.0,9777.0,43632.0,187101.0
Public Protection,Police,Police Services,Police Officer 3,32793.0,0.0,2545.0,35338.0
Public Protection,Police,Police Services,Police Officer 3,145779.0,20700.0,44549.0,211028.0
Public Protection,Police,Police Services,Police Officer 3,133041.0,51076.0,44555.0,228672.0
Public Protection,Police,Police Services,Police Officer 3,143461.0,14577.0,46448.0,204485.0
Public Protection,Police,Police Services,Police Officer 3,133396.0,2528.0,27660.0,163584.0
Public Protection,Police,Police Services,Police Officer 3,143362.0,13468.0,43797.0,200628.0
Public Protection,Police,Police Services,Police Officer 3,133577.0,23393.0,43783.0,200753.0
Public Protection,Police,Police Services,Police Officer 3,133451.0,88939.0,44987.0,267378.0
Public Protection,Police,Police Services,Police Officer 3,143732.0,8738.0,44200.0,196669.0
Public Protection,Police,Police Services,Police Officer 3,137563.0,3965.0,43357.0,184886.0
Public Protection,Police,Police Services,Police Officer 3,136935.0,86319.0,44838.0,268092.0
Public Protection,Police,Police Services,Police Officer 3,144219.0,58231.0,44645.0,247095.0
Public Protection,Police,Police Services,Police Officer 3,48246.0,0.0,3745.0,51991.0
Public Protection,Police,Police Services,Police Officer 3,135605.0,21925.0,43862.0,201392.0
Public Protection,Police,Police Services,Police Officer 3,155136.0,17656.0,44044.0,216837.0
Public Protection,Police,Police Services,Police Officer 3,139295.0,6431.0,43617.0,189343.0
Public Protection,Police,Police Services,Police Officer 3,142133.0,56923.0,44517.0,243574.0
Public Protection,Police,Police Services,Police Officer 3,208028.0,4250.0,41146.0,253424.0
Public Protection,Police,Police Services,Police Officer 3,133400.0,8592.0,43534.0,185526.0
Public Protection,Police,Police Services,Police Officer 3,141020.0,18952.0,42528.0,202499.0
Public Protection,Police,Police Services,Police Officer 3,133346.0,4167.0,44140.0,181653.0
Public Protection,Police,Police Services,Police Officer 3,140604.0,40989.0,44377.0,225969.0
Public Protection,Police,Police Services,Police Officer 3,135993.0,9719.0,44172.0,189884.0
Public Protection,Police,Police Services,Police Officer 3,137317.0,61147.0,44597.0,243061.0
Public Protection,Police,Police Services,Police Officer 3,138053.0,1944.0,43558.0,183555.0
Public Protection,Police,Police Services,Police Officer 3,136054.0,62538.0,45053.0,243645.0
Public Protection,Police,Police Services,Police Officer 3,134416.0,26756.0,43894.0,205066.0
Public Protection,Police,Police Services,Police Officer 3,112950.0,1180.0,36345.0,150474.0
Public Protection,Police,Police Services,Police Officer 3,141373.0,65170.0,48862.0,255405.0
Public Protection,Police,Police Services,Police Officer 3,138108.0,32525.0,43895.0,214528.0
Public Protection,Police,Police Services,Police Officer 3,140835.0,80633.0,45258.0,266726.0
Public Protection,Police,Police Services,Police Officer 3,133431.0,75031.0,44683.0,253145.0
Public Protection,Police,Police Services,Police Officer 3,144505.0,34409.0,44182.0,223097.0
Public Protection,Police,Police Services,Police Officer 3,137177.0,13722.0,43774.0,194673.0
Public Protection,Police,Police Services,Police Officer 3,150648.0,19294.0,44557.0,214498.0
Public Protection,Police,Police Services,Police Officer 3,135856.0,102963.0,45290.0,284109.0
Public Protection,Police,Police Services,Police Officer 3,143824.0,76353.0,45170.0,265348.0
Public Protection,Police,Police Services,Police Officer 3,138063.0,5162.0,44225.0,187450.0
Public Protection,Police,Police Services,Police Officer 3,139494.0,74363.0,45289.0,259145.0
Public Protection,Police,Police Services,Police Officer 3,133556.0,45016.0,44406.0,222978.0
Public Protection,Police,Police Services,Police Officer 3,140254.0,31299.0,44632.0,216186.0
Public Protection,Police,Police Services,Police Officer 3,139658.0,38755.0,44197.0,222610.0
Public Protection,Police,Police Services,Police Officer 3,140051.0,32713.0,44312.0,217075.0
Public Protection,Police,Police Services,Police Officer 3,140394.0,9505.0,44199.0,194098.0
Public Protection,Police,Police Services,Police Officer 3,136273.0,5014.0,43898.0,185184.0
Public Protection,Police,Police Services,Police Officer 3,150885.0,16296.0,45135.0,212316.0
Public Protection,Police,Police Services,Police Officer 3,81853.0,1218.0,25983.0,109054.0
Public Protection,Police,Police Services,Police Officer 3,136530.0,12591.0,43673.0,192795.0
Public Protection,Police,Police Services,Police Officer 3,139645.0,9288.0,44036.0,192969.0
Public Protection,Police,Police Services,Police Officer 3,138624.0,113679.0,45910.0,298213.0
Public Protection,Police,Police Services,Police Officer 3,133444.0,16946.0,43715.0,194105.0
Public Protection,Police,Police Services,Police Officer 3,143761.0,49301.0,44442.0,237504.0
Public Protection,Police,Police Services,Police Officer 3,139975.0,48088.0,44390.0,232453.0
Public Protection,Police,Police Services,Police Officer 3,143650.0,7380.0,44552.0,195582.0
Public Protection,Police,Police Services,Police Officer 3,164078.0,30401.0,46099.0,240578.0
Public Protection,Police,Police Services,Police Officer 3,133541.0,6314.0,44172.0,184027.0
Public Protection,Police,Police Services,Police Officer 3,140312.0,7344.0,43736.0,191392.0
Public Protection,Police,Police Services,Police Officer 3,91785.0,0.0,30439.0,122224.0
Public Protection,Police,Police Services,Police Officer 3,141905.0,104693.0,45863.0,292461.0
Public Protection,Police,Police Services,Police Officer 3,137933.0,41217.0,45323.0,224473.0
Public Protection,Police,Police Services,Police Officer 3,140169.0,24966.0,44015.0,209150.0
Public Protection,Police,Police Services,Police Officer 3,145572.0,14818.0,43918.0,204309.0
Public Protection,Police,Police Services,Police Officer 3,147851.0,60798.0,45150.0,253799.0
Public Protection,Police,Police Services,Police Officer 3,147405.0,49986.0,44725.0,242116.0
Public Protection,Police,Police Services,Police Officer 3,140799.0,24666.0,44262.0,209728.0
Public Protection,Police,Police Services,Police Officer 3,136521.0,50854.0,44395.0,231770.0
Public Protection,Police,Police Services,Police Officer 3,141507.0,91019.0,45265.0,277791.0
Public Protection,Police,Police Services,Police Officer 3,137963.0,38507.0,44140.0,220610.0
Public Protection,Police,Police Services,Police Officer 3,137753.0,2818.0,42711.0,183283.0
Public Protection,Police,Police Services,Police Officer 3,136042.0,68120.0,45141.0,249303.0
Public Protection,Police,Police Services,Police Officer 3,135348.0,10441.0,43777.0,189566.0
Public Protection,Police,Police Services,Police Officer 3,141393.0,24272.0,45385.0,211050.0
Public Protection,Police,Police Services,Police Officer 3,141287.0,22303.0,44328.0,207918.0
Public Protection,Police,Police Services,Police Officer 3,139298.0,4102.0,43610.0,187009.0
Public Protection,Police,Police Services,Police Officer 3,44966.0,0.0,3490.0,48456.0
Public Protection,Police,Police Services,Police Officer 3,38635.0,0.0,2999.0,41634.0
Public Protection,Police,Police Services,Police Officer 3,133574.0,21739.0,43796.0,199109.0
Public Protection,Police,Police Services,Police Officer 3,134852.0,48797.0,44290.0,227940.0
Public Protection,Police,Police Services,Police Officer 3,143656.0,7932.0,43753.0,195341.0
Public Protection,Police,Police Services,Police Officer 3,141576.0,33874.0,46711.0,222161.0
Public Protection,Police,Police Services,Police Officer 3,140067.0,65485.0,44715.0,250266.0
Public Protection,Police,Police Services,Police Officer 3,144029.0,99437.0,45311.0,288776.0
Public Protection,Police,Police Services,Police Officer 3,46272.0,0.0,3591.0,49863.0
Public Protection,Police,Police Services,Police Officer 3,136773.0,12179.0,43911.0,192864.0
Public Protection,Police,Police Services,Police Officer 3,134501.0,2233.0,43635.0,180369.0
Public Protection,Police,Police Services,Police Officer 3,135320.0,12364.0,43683.0,191366.0
Public Protection,Police,Police Services,Police Officer 3,139683.0,79515.0,44898.0,264096.0
Public Protection,Police,Police Services,Police Officer 3,161508.0,25770.0,44970.0,232248.0
Public Protection,Police,Police Services,Police Officer 3,133420.0,104461.0,45272.0,283153.0
Public Protection,Police,Police Services,Police Officer 3,136457.0,40279.0,45038.0,221774.0
Public Protection,Police,Police Services,Police Officer 3,137103.0,46710.0,44265.0,228078.0
Public Protection,Police,Police Services,Police Officer 3,137101.0,24497.0,43182.0,204780.0
Public Protection,Police,Police Services,Police Officer 3,136265.0,31668.0,44132.0,212065.0
Public Protection,Police,Police Services,Police Officer 3,137399.0,31889.0,43533.0,212822.0
Public Protection,Police,Police Services,Police Officer 3,130747.0,30501.0,43093.0,204341.0
Public Protection,Police,Police Services,Police Officer 3,141936.0,44181.0,44312.0,230430.0
Public Protection,Police,Police Services,Police Officer 3,155285.0,55500.0,45466.0,256251.0
Public Protection,Police,Police Services,Police Officer 3,139507.0,76857.0,44845.0,261209.0
Public Protection,Police,Police Services,Police Officer 3,138175.0,7485.0,43455.0,189115.0
Public Protection,Police,Police Services,Police Officer 3,141485.0,18306.0,43856.0,203647.0
Public Protection,Police,Police Services,Police Officer 3,133402.0,40800.0,44287.0,218489.0
Public Protection,Police,Police Services,Police Officer 3,133396.0,18941.0,43817.0,196154.0
Public Protection,Police,Police Services,Police Officer 3,122619.0,32562.0,42271.0,197452.0
Public Protection,Police,Police Services,Police Officer 3,154277.0,21826.0,45886.0,221988.0
Public Protection,Police,Police Services,Police Officer 3,137911.0,7456.0,45124.0,190492.0
Public Protection,Police,Police Services,Police Officer 3,149766.0,88587.0,45609.0,283962.0
Public Protection,Police,Police Services,Police Officer 3,138852.0,51943.0,44302.0,235097.0
Public Protection,Police,Police Services,Police Officer 3,133373.0,85107.0,44923.0,263403.0
Public Protection,Police,Police Services,Police Officer 3,144076.0,8449.0,44067.0,196592.0
Public Protection,Police,Police Services,Police Officer 3,135169.0,40209.0,44129.0,219507.0
Public Protection,Police,Police Services,Police Officer 3,151543.0,34006.0,44304.0,229853.0
Public Protection,Police,Police Services,Police Officer 3,136534.0,3853.0,44101.0,184488.0
Public Protection,Police,Police Services,Police Officer 3,133320.0,68271.0,40736.0,242326.0
Public Protection,Police,Police Services,Police Officer 3,139355.0,59348.0,44511.0,243213.0
Public Protection,Police,Police Services,Police Officer 3,134669.0,27525.0,44565.0,206760.0
Public Protection,Police,Police Services,Police Officer 3,145498.0,32630.0,44237.0,222365.0
Public Protection,Police,Police Services,Police Officer 3,139699.0,14602.0,44826.0,199127.0
Public Protection,Police,Police Services,Police Officer 3,136042.0,0.0,43961.0,180003.0
Public Protection,Police,Police Services,Police Officer 3,138327.0,7483.0,44164.0,189973.0
Public Protection,Police,Police Services,Police Officer 3,133761.0,10117.0,43576.0,187454.0
Public Protection,Police,Police Services,Police Officer 3,133396.0,11324.0,29762.0,174482.0
